# Note - You may enter notes about your run here. They will be displayed every time this log is loaded.
# Saved Wednesday July 07 2021
# To calculate the rpm of your motor: take the Motor_RPM and divide by the number of motor poles / 2
LogSession_ID,Log_Frequency,Drive_Voltage,Drive_Current,Drive_Power,Temperature,Input_Throttle,Output_Throttle,Motor_RPM,Power_Consumption
52,8,28.35,12.79,362.60,84.20,1504,51.00,34080,0.69
52,8,28.34,12.63,357.93,84.20,1494,50.00,34740,0.70
52,8,28.34,11.87,336.40,84.20,1502,51.00,34080,0.71
52,8,28.34,11.92,337.81,84.20,1504,51.00,33480,0.72
52,8,28.33,12.11,343.08,84.20,1508,52.00,34080,0.73
52,8,28.33,12.16,344.49,84.20,1500,51.00,34080,0.74
52,8,28.33,11.99,339.68,84.20,1498,50.00,34080,0.75
52,8,28.32,11.71,331.63,84.20,1496,50.00,33480,0.76
52,8,28.32,11.74,332.48,84.20,1501,51.00,33480,0.77
52,8,28.32,11.73,332.19,84.20,1502,51.00,33480,0.78
52,8,28.31,11.68,330.66,84.20,1503,51.00,33480,0.79
52,8,28.31,12.09,342.27,86.00,1504,51.00,33480,0.80
52,8,28.30,12.10,342.43,86.00,1500,51.00,34080,0.81
52,8,28.30,11.66,329.98,86.00,1504,51.00,34080,0.82
52,8,28.28,11.66,329.74,86.00,1514,52.00,33480,0.83
52,8,28.27,12.32,348.29,86.00,1502,51.00,34080,0.84
52,8,28.27,12.44,351.68,87.80,1503,51.00,34740,0.85
52,8,28.26,12.16,343.64,87.80,1506,52.00,34740,0.87
52,8,28.27,12.11,342.35,87.80,1505,51.00,34080,0.88
52,8,28.26,11.99,338.84,87.80,1498,51.00,34080,0.89
52,8,28.26,11.80,333.47,87.80,1495,50.00,34080,0.90
52,8,28.26,11.61,328.10,87.80,1497,50.00,34080,0.91
52,8,28.26,11.72,331.21,87.80,1496,50.00,33480,0.92
52,8,28.26,11.78,332.90,87.80,1508,52.00,33480,0.93
52,8,28.26,11.98,338.55,87.80,1500,51.00,33480,0.94
52,8,28.26,12.18,344.21,87.80,1509,52.00,34080,0.95
52,8,28.25,12.13,342.67,87.80,1507,52.00,34080,0.96
52,8,28.25,12.22,345.21,87.80,1508,52.00,34080,0.97
52,8,28.24,12.07,340.86,87.80,1510,52.00,34080,0.98
52,8,28.24,12.18,343.96,87.80,1508,52.00,34080,0.99
52,8,28.23,12.33,348.08,87.80,1509,52.00,34740,1.00
52,8,28.23,12.19,344.12,87.80,1505,51.00,34080,1.01
52,8,28.23,12.00,338.76,87.80,1508,52.00,34080,1.02
52,8,28.22,12.05,340.05,87.80,1519,53.00,34080,1.03
52,8,28.22,12.58,355.01,87.80,1502,51.00,34080,1.04
52,8,28.21,12.28,346.42,87.80,1491,50.00,34080,1.05
52,8,28.20,11.30,318.66,87.80,1509,52.00,33480,1.06
52,8,28.20,11.93,336.43,87.80,1528,54.00,33480,1.07
52,8,28.19,13.15,370.70,87.80,1529,54.00,34080,1.09
52,8,28.19,13.19,371.83,87.80,1514,52.00,34740,1.10
52,8,28.19,12.33,347.58,87.80,1509,52.00,34740,1.11
52,8,28.19,11.88,334.90,87.80,1496,50.00,34740,1.12
52,8,28.19,11.84,333.77,87.80,1511,52.00,33480,1.13
52,8,28.19,12.23,344.76,87.80,1506,52.00,34740,1.14
52,8,28.18,12.42,350.00,87.80,1510,51.00,34080,1.15
52,8,28.18,12.08,340.41,87.80,1504,51.00,34080,1.16
52,8,28.19,11.91,335.74,87.80,1507,52.00,34080,1.17
52,8,28.19,11.95,336.87,87.80,1512,52.00,34080,1.18
52,8,28.19,12.32,347.30,87.80,1506,52.00,34080,1.19
52,8,28.18,12.25,345.20,87.80,1500,51.00,34080,1.20
52,8,28.18,11.83,333.37,87.80,1504,51.00,33480,1.21
52,8,28.17,11.75,331.00,87.80,1502,51.00,34080,1.22
52,8,28.18,11.83,333.37,87.80,1501,51.00,33480,1.23
52,8,28.18,11.80,332.52,87.80,1482,49.00,33480,1.24
52,8,28.19,11.52,324.75,87.80,1500,51.00,32880,1.25
52,8,28.18,11.66,328.58,87.80,1507,52.00,33480,1.26
52,8,28.18,12.07,340.13,87.80,1497,50.00,33480,1.27
52,8,28.17,11.78,331.84,87.80,1490,50.00,32880,1.28
52,8,28.17,11.49,323.67,87.80,1510,52.00,33480,1.29
52,8,28.16,11.95,336.51,87.80,1515,52.00,33480,1.30
52,8,28.15,12.34,347.37,87.80,1507,52.00,34080,1.32
52,8,28.13,12.02,338.12,87.80,1497,50.00,34080,1.33
52,8,28.15,11.72,329.92,87.80,1483,49.00,33480,1.34
52,8,28.19,11.03,310.94,87.80,1497,50.00,32880,1.35
52,8,28.25,11.06,312.44,87.80,1491,50.00,32880,1.35
52,8,28.30,11.53,326.30,87.80,1489,49.00,32880,1.36
52,8,28.33,11.42,323.53,87.80,1487,49.00,32880,1.37
52,8,28.34,11.29,319.96,87.80,1476,48.00,32880,1.38
52,8,28.33,10.98,311.06,87.80,1480,49.00,32280,1.39
52,8,28.32,10.67,302.17,87.80,1437,43.00,31680,1.40
52,8,28.34,10.03,284.25,87.80,1453,45.00,31080,1.41
52,8,28.42,7.73,219.69,87.80,1453,45.00,30480,1.42
52,8,28.49,10.30,293.45,87.80,1444,44.00,30480,1.43
52,8,28.56,7.86,224.48,87.80,1434,43.00,30480,1.43
52,8,28.66,7.12,204.06,87.80,1338,32.00,29220,1.44
52,8,28.86,6.09,175.76,87.80,1353,34.00,28020,1.45
52,8,29.07,5.23,152.04,87.80,1279,25.00,24960,1.45
52,8,29.22,4.72,137.92,87.80,1216,18.00,23760,1.45
52,8,29.37,4.08,119.83,87.80,1171,12.00,21900,1.46
52,8,29.43,3.83,112.72,87.80,1166,12.00,20100,1.46
52,8,29.46,3.78,111.36,87.80,1163,11.00,17640,1.46
52,8,29.46,3.77,111.06,87.80,1165,12.00,16440,1.47
52,8,29.46,3.78,111.36,87.80,1169,12.00,15840,1.47
52,8,29.48,3.80,112.02,87.80,1170,12.00,14580,1.47
52,8,29.50,3.80,112.10,87.80,1174,13.00,13380,1.48
52,8,29.52,3.81,112.47,87.80,1173,12.00,13380,1.48
52,8,29.53,3.82,112.80,87.80,1168,12.00,13380,1.48
52,8,29.53,3.81,112.51,87.80,1168,12.00,12180,1.49
52,8,29.53,3.82,112.80,87.80,1173,12.00,12180,1.49
52,8,29.53,3.84,113.40,87.80,1169,12.00,12180,1.49
52,8,29.53,3.86,113.99,87.80,1179,13.00,12180,1.50
52,8,29.53,3.87,114.28,87.80,1179,13.00,12180,1.50
